entity_id,brand_key,brand,product_key,product,variant,gtin,heat_shu,heat_basis,us_availability,evidence_url,price,price_currency,buy_url,in_stock,store_domain,first_observed_at,last_observed_at,names_version,matcher_version,prompt_version,sources,source_count,tiers,hotones_seasons,duplicate_candidate,duplicate_candidate_count,duplicate_of_candidates,corroboration,review_count,review_outlets,review_stance_mix,rules_version
sauce:texan-heartland|caribbean-pineapple,texan-heartland,Texan Heartland,caribbean-pineapple,Caribbean Pineapple Hot Sauce,,,,,retail_listing,https://texanheartland.com/products/caribbean-pineapple-hot-sauce,8.95,USD,https://texanheartland.com/products/caribbean-pineapple-hot-sauce,True,texanheartland.com,2026-09-19T11:09:45.470554Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,False,0,,single_source:shopify,0,,,v1
sauce:texan-heartland|hill-country-verde,texan-heartland,Texan Heartland,hill-country-verde,Hill Country Verde Hot Sauce,,,,,retail_listing,https://texanheartland.com/products/hill-country-verde-hot-sauce,8.95,USD,https://texanheartland.com/products/hill-country-verde-hot-sauce,True,texanheartland.com,2026-09-19T11:09:45.470554Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,False,0,,single_source:shopify,0,,,v1
sauce:texan-heartland|honey-ginger-mango-habanero,texan-heartland,Texan Heartland,honey-ginger-mango-habanero,Honey Ginger Mango Habanero Hot Sauce,,,,,retail_listing,https://texanheartland.com/products/honey-ginger-mango-habanero-hot-sauce,8.95,USD,https://texanheartland.com/products/honey-ginger-mango-habanero-hot-sauce,True,texanheartland.com,2026-09-19T11:09:45.470554Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,False,0,,single_source:shopify,0,,,v1
sauce:texan-heartland|lone-star-reserve,texan-heartland,Texan Heartland,lone-star-reserve,Lone Star Reserve Hot Sauce,,,,,retail_listing,https://texanheartland.com/products/lone-star-reserve-hot-sauce,8.95,USD,https://texanheartland.com/products/lone-star-reserve-hot-sauce,True,texanheartland.com,2026-09-19T11:09:45.470554Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,False,0,,single_source:shopify,0,,,v1
sauce:texan-heartland|roasted-onion-garlic-reaper,texan-heartland,Texan Heartland,roasted-onion-garlic-reaper,Roasted Onion & Garlic Reaper Hot Sauce,,,,,retail_listing,https://texanheartland.com/products/roasted-onion-garlic-reaper-hot-sauce,10.95,USD,https://texanheartland.com/products/roasted-onion-garlic-reaper-hot-sauce,True,texanheartland.com,2026-09-19T11:09:45.470554Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,False,0,,single_source:shopify,0,,,v1
sauce:texan-heartland|serrano-sunfire,texan-heartland,Texan Heartland,serrano-sunfire,Serrano Sunfire Hot Sauce,,,,,retail_listing,https://texanheartland.com/products/serrano-sunfire-hot-sauce,9.95,USD,https://texanheartland.com/products/serrano-sunfire-hot-sauce,True,texanheartland.com,2026-09-19T11:09:45.470554Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,False,0,,single_source:shopify,0,,,v1
sauce:texan-original|hot,texan-original,Texan Original,hot,Hot Sauce,,00079426444422,,,retail_listing,http://world-en.openfoodfacts.org/product/0079426444422/hot-sauce-texan-original,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,124,sauce:a-m-braswell-jr|hot|sauce:ala-orden|hot|sauce:always-save|hot|sauce:antonio-sanchez-salazar|hot|sauce:best-choice|hot,single_source:off,0,,,v1
sauce:texas|hot,texas,Texas Brand,hot,Hot Sauce,,00073619002048,,,retail_listing,http://world-en.openfoodfacts.org/product/0073619002048/hot-sauce-texas-brand,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,124,sauce:a-m-braswell-jr|hot|sauce:ala-orden|hot|sauce:always-save|hot|sauce:antonio-sanchez-salazar|hot|sauce:best-choice|hot,single_source:off,0,,,v1
sauce:texas-creek|pure-evil-1-5-million-shu,texas-creek,Texas Creek,pure-evil-1-5-million-shu,Pure Evil 1.5 million SHU,,,,,retail_listing,https://heathotsauce.com/products/pure-evil-1-5-million-shu,29.99,USD,https://heathotsauce.com/products/pure-evil-1-5-million-shu,True,heathotsauce.com,2026-09-19T13:52:25.427841Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,True,2,sauce:texas-creek|pure-evil-13-million-shu|sauce:texas-creek|pure-evil-9-6-million-shu,single_source:shopify,0,,,v1
sauce:texas-creek|pure-evil-13-million-shu,texas-creek,Texas Creek,pure-evil-13-million-shu,Pure Evil 13 Million SHU,,,,,retail_listing,https://heathotsauce.com/products/pure-evil-13-million-shu,89.99,USD,https://heathotsauce.com/products/pure-evil-13-million-shu,True,heathotsauce.com,2026-09-19T13:52:25.427841Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,True,1,sauce:texas-creek|pure-evil-1-5-million-shu,single_source:shopify,0,,,v1
