award,year,url,format,note
Scovie Awards,2026,https://www.scovieawards.com/wp-content/uploads/2025/11/2026ScovieWinnerDirectory20262.pdf,directory_pdf,官方得獎名錄 PDF；只取分類／名次／產品名／公司名
Scovie Awards,2025,https://www.scovieawards.com/wp-content/uploads/2024/11/2025ScovieWinnersDirectory2.pdf,directory_pdf,同上
Scovie Awards,2024,https://www.scovieawards.com/scoviewinners/2024-scovie-awards-report/,html,報導頁（名錄本身是 PDF，這頁是摘要）
Scovie Awards,2021,https://www.scovieawards.com/scoviewinners/2021-scovie-awards-report/,html,同上
